R_m,rho_needed_conserv,rho_needed_realist,rho_needed_optimist,rho_avail_conserv,rho_avail_realist,rho_avail_optimist,gap_conserv,gap_realist,gap_optimist
3.5736e+02,3.3890e+54,3.3890e+54,3.3890e+54,5.7296e+04,3.1831e+07,3.1831e+10,5.9148e+49,1.0647e+47,1.0647e+44
3.6570e+02,3.2361e+54,3.2361e+54,3.2361e+54,5.7296e+04,3.1831e+07,3.1831e+10,5.6481e+49,1.0167e+47,1.0167e+44
3.7424e+02,3.0902e+54,3.0902e+54,3.0902e+54,5.7296e+04,3.1831e+07,3.1831e+10,5.3934e+49,9.7081e+46,9.7081e+43
3.8297e+02,2.9508e+54,2.9508e+54,2.9508e+54,5.7296e+04,3.1831e+07,3.1831e+10,5.1502e+49,9.2703e+46,9.2703e+43
3.9191e+02,2.8178e+54,2.8178e+54,2.8178e+54,5.7296e+04,3.1831e+07,3.1831e+10,4.9179e+49,8.8523e+46,8.8523e+43
4.0106e+02,2.6907e+54,2.6907e+54,2.6907e+54,5.7296e+04,3.1831e+07,3.1831e+10,4.6962e+49,8.4531e+46,8.4531e+43
4.1042e+02,2.5694e+54,2.5694e+54,2.5694e+54,5.7296e+04,3.1831e+07,3.1831e+10,4.4844e+49,8.0719e+46,8.0719e+43
4.2000e+02,2.4535e+54,2.4535e+54,2.4535e+54,5.7296e+04,3.1831e+07,3.1831e+10,4.2822e+49,7.7079e+46,7.7079e+43
4.2980e+02,2.3429e+54,2.3429e+54,2.3429e+54,5.7296e+04,3.1831e+07,3.1831e+10,4.0891e+49,7.3603e+46,7.3603e+43
4.3983e+02,2.2372e+54,2.2372e+54,2.2372e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.9047e+49,7.0284e+46,7.0284e+43
4.5010e+02,2.1363e+54,2.1363e+54,2.1363e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.7286e+49,6.7114e+46,6.7114e+43
4.6060e+02,2.0400e+54,2.0400e+54,2.0400e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.5604e+49,6.4088e+46,6.4088e+43
4.7135e+02,1.9480e+54,1.9480e+54,1.9480e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.3999e+49,6.1198e+46,6.1198e+43
4.8235e+02,1.8601e+54,1.8601e+54,1.8601e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.2466e+49,5.8438e+46,5.8438e+43
4.9361e+02,1.7763e+54,1.7763e+54,1.7763e+54,5.7296e+04,3.1831e+07,3.1831e+10,3.1001e+49,5.5803e+46,5.5803e+43
