Zugnummer;Zug;Ergebnis
49;Qd7;1-0
50;Re2;1-0
51;Rh5;1-0
52;Qa6;1-0
53;Qd5+;1-0
54;Kh7;1-0
55;Qf5+;1-0
56;Kg8;1-0
57;Qd5+;1-0
58;Kh7;1-0
59;Qf5+;1-0
60;Kh8;1-0
61;Rxh6+;1-0
62;Kg8;1-0
63;h4;1-0
64;Qa2;1-0
65;Kh1;1-0
66;Rxc6;1-0
67;Qh7+;1-0
68;Kf8;1-0
69;Rd1;1-0
70;Qe6;1-0
71;Bb4+;1-0
72;Qd6;1-0
73;Bxd6+;1-0
74;Rxd6;1-0
75;Rxd6;1-0
76;Re1+;1-0
77;Kh2;1-0
78;Rd1;1-0
79;Rxd1;1-0
80;Kf7;1-0
81;Rd8;1-0
82;Ke7;1-0
83;Qxg7+;1-0
84;Kxd8;1-0
85;Rh8#;1-0
1;e4;0-1
2;e5;0-1
3;Nf3;0-1
4;Nc6;0-1
5;Bb5;0-1
6;a6;0-1
7;Ba4;0-1
8;Nf6;0-1
9;O-O;0-1
10;Nxe4;0-1
11;d4;0-1
12;b5;0-1
13;Bb3;0-1
14;d5;0-1
15;dxe5;0-1
16;Be6;0-1
17;c3;0-1
18;Be7;0-1
19;Bc2;0-1
20;Bg4;0-1
21;Bb3;0-1
22;Nc5;0-1
23;Bxd5;0-1
24;Qd7;0-1
25;c4;0-1
26;Rd8;0-1
27;Qd4;0-1
28;Bxf3;0-1
29;Bxf7+;0-1
30;Kxf7;0-1
31;b4;0-1
32;Nxd4;0-1
33;h3;0-1
34;Bg4;0-1
35;Nc3;0-1
36;Bxh3;0-1
37;f3;0-1
38;Ncb3;0-1
39;axb3;0-1
40;Nxb3;0-1
41;Rxa6;0-1
42;Qd4+;0-1
43;Kh1;0-1
44;Qxc3;0-1
45;f4;0-1
46;Qe3;0-1
47;Bxe3;0-1
48;Bf5;0-1
49;cxb5;0-1
50;Rd3;0-1
51;Re1;0-1
52;Re8;0-1
53;Bc5;0-1
54;Nxc5;0-1
55;bxc5;0-1
56;Bxc5;0-1
57;Rc1;0-1
58;Bb6;0-1
59;Rc6;0-1
60;Rdd8;0-1
61;Kh2;0-1
62;Rb8;0-1
63;Ra3;0-1
64;Kf8;0-1
65;Rac3;0-1
66;g5;0-1
67;Rf6+;0-1
68;Kg8;0-1
69;Rxf5;0-1
70;gxf4;0-1
71;Rc1;0-1
72;Re6;0-1
73;Rf7;0-1
74;Rh6#;0-1
1;e4;1-0
2;c5;1-0
3;Nf3;1-0
4;f5;1-0
5;exf5;1-0
6;Nc6;1-0
7;a4;1-0
8;d5;1-0
9;d4;1-0
10;Bxf5;1-0
11;dxc5;1-0
12;e5;1-0
13;Nbd2;1-0
14;Bxc5;1-0
15;Nb3;1-0
16;Bd6;1-0
17;Bd3;1-0
18;Rc8;1-0
19;Bxf5;1-0
20;g6;1-0
21;Bh3;1-0
22;Nf6;1-0
23;Bg5;1-0
24;Qe7;1-0
25;Bxc8;1-0
26;O-O;1-0
27;Bh3;1-0
28;e4;1-0
29;Nfd4;1-0
30;Ne5;1-0
31;O-O;1-0
32;h6;1-0
33;Bh4;1-0
34;Qd7;1-0
35;Rb1;1-0
36;Nfg4;1-0
37;Bg3;1-0
38;h5;1-0
39;Nc6;1-0
40;bxc6;1-0
41;Nd4;1-0
42;a5;1-0
43;Kh1;1-0
44;Nc4;1-0
45;Bxd6;1-0
46;Re8;1-0
47;Bf4;1-0
48;c5;1-0
49;Ne2;1-0
50;d4;1-0
51;Bc1;1-0
52;Qf5;1-0
53;Bxg4;1-0
54;Qxg4;1-0
55;Ng1;1-0
56;Qf5;1-0
57;Ra1;1-0
58;Ne5;1-0
59;Qe2;1-0
60;Nf3;1-0
61;Nxf3;1-0
62;Kg7;1-0
63;Bd2;1-0
64;exf3;1-0
65;Qxf3;1-0
66;Qxf3;1-0
67;gxf3;1-0
68;Re2;1-0
69;Bxa5;1-0
70;Re5;1-0
71;Bc7;1-0
72;Re7;1-0
73;Bd6;1-0
74;Rd7;1-0
75;Bxc5;1-0
76;Kh6;1-0
77;Ba3;1-0
78;g5;1-0
79;Rfe1;1-0
80;h4;1-0
81;Kg1;1-0
82;Rf7;1-0
83;Kh1;1-0
