Datetime,price,volume,ma_short,ma_long,rsi,trad_signal,trad_signal_trend,amplitude,time_comp,fft_period,resonance_score,use_grid,direction_hint,res_signal
2024-08-06 09:00:00+00:00,55262.328125,0,54284.974609375,61456.72072637649,65.04274591962134,hold,sell,12121.875,4.012195121951219,336.0,2.915281851326027,True,-1.0,buy
2024-08-06 10:00:00+00:00,55041.5546875,0,54438.0751953125,61388.11809430803,57.96212481723038,hold,sell,12121.875,3.9879518072289155,336.0,2.915175087829188,True,-1.0,buy
2024-08-06 11:00:00+00:00,55258.25390625,0,54597.353352864586,61320.611328125,57.3299102851987,hold,sell,12121.875,3.9879518072289155,336.0,2.4999986583358793,True,-1.0,buy
2024-08-06 12:00:00+00:00,54852.5234375,0,54806.103352864586,61250.39397321428,51.83206184277684,hold,sell,12121.875,3.9642857142857144,336.0,1.990430422140889,True,-1.0,buy
2024-08-06 13:00:00+00:00,55275.77734375,0,54943.381184895836,61184.594517299105,61.275319533617115,hold,sell,12121.875,3.9397590361445785,336.0,1.8313365946205813,True,-1.0,buy
2024-08-06 14:00:00+00:00,56100.6484375,0,55028.189127604164,61126.58884393601,52.72413306718755,hold,sell,11197.82421875,3.9397590361445785,336.0,1.6558735119953452,True,-1.0,buy
2024-08-06 15:00:00+00:00,56371.8125,0,55115.33544921875,61067.82214936756,55.7441920355111,hold,sell,11197.82421875,3.9397590361445785,336.0,1.5891725357736113,True,-1.0,buy
2024-08-06 16:00:00+00:00,56855.76171875,0,55228.71533203125,61012.27683221726,59.089482229568475,hold,sell,11197.82421875,3.9397590361445785,336.0,1.5755317007671379,True,-1.0,buy
2024-08-06 17:00:00+00:00,56594.1875,0,55306.254231770836,60957.275716145836,58.58244876291676,hold,sell,11197.82421875,3.9523809523809526,336.0,1.5265037039026683,True,-1.0,buy
2024-08-06 18:00:00+00:00,56787.8125,0,55453.319661458336,60903.91131882441,62.09340291001579,hold,sell,11197.82421875,3.9523809523809526,336.0,1.4537373711779538,True,-1.0,buy
2024-08-06 19:00:00+00:00,56796.2578125,0,55594.57470703125,60849.39318266369,58.764342753033304,hold,sell,11197.82421875,3.9759036144578315,336.0,1.4029557303841413,True,-1.0,buy
2024-08-06 20:00:00+00:00,56556.00390625,0,55695.202962239586,60792.30773344494,57.36860031126269,hold,sell,11197.82421875,3.9642857142857144,336.0,1.4046309339373289,True,-1.0,buy
2024-08-06 21:00:00+00:00,56443.25,0,55778.612467447914,60733.67743210566,53.3297554620575,hold,sell,11197.82421875,3.9518072289156625,336.0,1.3926235220958267,True,-1.0,buy
2024-08-06 22:00:00+00:00,56208.1015625,168919040,55843.916666666664,60674.37172154018,63.26586552901621,hold,sell,11197.82421875,3.9518072289156625,336.0,1.3807678022115935,True,-1.0,buy
2024-08-06 23:00:00+00:00,56002.98828125,0,55926.63330078125,60613.58472842262,59.025054761775564,hold,sell,11197.82421875,3.9518072289156625,336.0,1.3439782840160108,True,-1.0,buy
