,nav
2025-04-26 22:00:00+00:00,10498.079113552587
2025-04-26 23:00:00+00:00,10497.442810685872
2025-04-27 00:00:00+00:00,10502.045563125175
2025-04-27 01:00:00+00:00,10489.064688187958
2025-04-27 02:00:00+00:00,10491.939235573129
2025-04-27 03:00:00+00:00,10489.20483113192
2025-04-27 04:00:00+00:00,10487.434852700258
2025-04-27 05:00:00+00:00,10484.871180095588
2025-04-27 06:00:00+00:00,10486.70206680674
2025-04-27 07:00:00+00:00,10487.774295080872
2025-04-27 08:00:00+00:00,10490.273151573962
2025-04-27 09:00:00+00:00,10489.324895904101
2025-04-27 10:00:00+00:00,10486.694116389726
2025-04-27 11:00:00+00:00,10485.908642139391
2025-04-27 12:00:00+00:00,10482.726454041662
2025-04-27 13:00:00+00:00,10487.738316075067
2025-04-27 14:00:00+00:00,10486.005664177519
2025-04-27 15:00:00+00:00,10485.256977449973
2025-04-27 16:00:00+00:00,10482.532948976732
2025-04-27 17:00:00+00:00,10487.49953405901
2025-04-27 18:00:00+00:00,10491.437416031484
2025-04-27 19:00:00+00:00,10493.49576552091
2025-04-27 20:00:00+00:00,10491.828603499096
2025-04-27 21:00:00+00:00,10492.86215771081
2025-04-27 22:00:00+00:00,10485.745860719868
2025-04-27 23:00:00+00:00,10482.807575245763
2025-04-28 00:00:00+00:00,10476.534291963879
2025-04-28 01:00:00+00:00,10467.94137345378
2025-04-28 02:00:00+00:00,10479.174234670743
2025-04-28 03:00:00+00:00,10484.153351766281
2025-04-28 04:00:00+00:00,10486.608952600704
2025-04-28 05:00:00+00:00,10490.450890557697
2025-04-28 06:00:00+00:00,10496.943820953673
2025-04-28 07:00:00+00:00,10498.552769752609
2025-04-28 08:00:00+00:00,10498.377186814167
2025-04-28 09:00:00+00:00,10499.174654066435
2025-04-28 10:00:00+00:00,10504.645618994144
2025-04-28 11:00:00+00:00,10507.952588213131
2025-04-28 12:00:00+00:00,10510.226003220405
2025-04-28 13:00:00+00:00,10487.855146779311
2025-04-28 14:00:00+00:00,10493.556000036247
2025-04-28 15:00:00+00:00,10482.299152815413
2025-04-28 16:00:00+00:00,10481.157931091944
2025-04-28 17:00:00+00:00,10487.943679389102
2025-04-28 18:00:00+00:00,10490.093121792102
