sequence;count;avg_score
Nxa5 Bb7 Nxb7 Ra6 Nd8 Bd6 Nc6 Bf4 Nxb8+ Kd6;1;10.0
Bb7 Nxb7 Ra6 Nd8 Bd6 Nc6 Bf4 Nxb8+ Kd6 Nxa6;1;10.0
Nxb7 Ra6 Nd8 Bd6 Nc6 Bf4 Nxb8+ Kd6 Nxa6 c4;1;10.0
Ra6 Nd8 Bd6 Nc6 Bf4 Nxb8+ Kd6 Nxa6 c4 Nc5;1;10.0
Nd8 Bd6 Nc6 Bf4 Nxb8+ Kd6 Nxa6 c4 Nc5 Bxd2+;1;10.0
Bd6 Nc6 Bf4 Nxb8+ Kd6 Nxa6 c4 Nc5 Bxd2+ Kxd2;1;10.0
Nc6 Bf4 Nxb8+ Kd6 Nxa6 c4 Nc5 Bxd2+ Kxd2 c3+;1;10.0
Bf4 Nxb8+ Kd6 Nxa6 c4 Nc5 Bxd2+ Kxd2 c3+ bxc3;1;10.0
Nxb8+ Kd6 Nxa6 c4 Nc5 Bxd2+ Kxd2 c3+ bxc3 Ke5;1;10.0
Kd6 Nxa6 c4 Nc5 Bxd2+ Kxd2 c3+ bxc3 Ke5 Ba3;1;10.0
Nxa6 c4 Nc5 Bxd2+ Kxd2 c3+ bxc3 Ke5 Ba3 Kf4;1;10.0
c4 Nc5 Bxd2+ Kxd2 c3+ bxc3 Ke5 Ba3 Kf4 Nh3+;1;10.0
Nc5 Bxd2+ Kxd2 c3+ bxc3 Ke5 Ba3 Kf4 Nh3+ Kg4;1;10.0
Bxd2+ Kxd2 c3+ bxc3 Ke5 Ba3 Kf4 Nh3+ Kg4 g3;1;10.0
Kxd2 c3+ bxc3 Ke5 Ba3 Kf4 Nh3+ Kg4 g3 Kf5;1;10.0
c3+ bxc3 Ke5 Ba3 Kf4 Nh3+ Kg4 g3 Kf5 e4+;1;10.0
bxc3 Ke5 Ba3 Kf4 Nh3+ Kg4 g3 Kf5 e4+ Kg6;1;10.0
Ke5 Ba3 Kf4 Nh3+ Kg4 g3 Kf5 e4+ Kg6 Qh5+;1;10.0
Ba3 Kf4 Nh3+ Kg4 g3 Kf5 e4+ Kg6 Qh5+ Kxh5;1;10.0
Kf4 Nh3+ Kg4 g3 Kf5 e4+ Kg6 Qh5+ Kxh5 g4+;1;10.0
Nh3+ Kg4 g3 Kf5 e4+ Kg6 Qh5+ Kxh5 g4+ Kg6;1;10.0
Kg4 g3 Kf5 e4+ Kg6 Qh5+ Kxh5 g4+ Kg6 Bg2;1;10.0
g3 Kf5 e4+ Kg6 Qh5+ Kxh5 g4+ Kg6 Bg2 Kf6;1;10.0
Kf5 e4+ Kg6 Qh5+ Kxh5 g4+ Kg6 Bg2 Kf6 Bf3;1;10.0
e4+ Kg6 Qh5+ Kxh5 g4+ Kg6 Bg2 Kf6 Bf3 Kg6;1;10.0
Kg6 Qh5+ Kxh5 g4+ Kg6 Bg2 Kf6 Bf3 Kg6 Bb4;1;10.0
Qh5+ Kxh5 g4+ Kg6 Bg2 Kf6 Bf3 Kg6 Bb4 Kf6;1;10.0
Kxh5 g4+ Kg6 Bg2 Kf6 Bf3 Kg6 Bb4 Kf6 Nd7+;1;10.0
g4+ Kg6 Bg2 Kf6 Bf3 Kg6 Bb4 Kf6 Nd7+ Kg6;1;10.0
Kg6 Bg2 Kf6 Bf3 Kg6 Bb4 Kf6 Nd7+ Kg6 Nf8+;1;10.0
Bg2 Kf6 Bf3 Kg6 Bb4 Kf6 Nd7+ Kg6 Nf8+ Kf6;1;10.0
Kf6 Bf3 Kg6 Bb4 Kf6 Nd7+ Kg6 Nf8+ Kf6 e5+;1;10.0
Bf3 Kg6 Bb4 Kf6 Nd7+ Kg6 Nf8+ Kf6 e5+ Kg7;1;10.0
Kg6 Bb4 Kf6 Nd7+ Kg6 Nf8+ Kf6 e5+ Kg7 Bd5;1;10.0
Bb4 Kf6 Nd7+ Kg6 Nf8+ Kf6 e5+ Kg7 Bd5 Kh6;1;10.0
Kf6 Nd7+ Kg6 Nf8+ Kf6 e5+ Kg7 Bd5 Kh6 Rag1;1;10.0
Nd7+ Kg6 Nf8+ Kf6 e5+ Kg7 Bd5 Kh6 Rag1 Kg7;1;10.0
Kg6 Nf8+ Kf6 e5+ Kg7 Bd5 Kh6 Rag1 Kg7 Rg3;1;10.0
Nf8+ Kf6 e5+ Kg7 Bd5 Kh6 Rag1 Kg7 Rg3 hxg3;1;10.0
Kf6 e5+ Kg7 Bd5 Kh6 Rag1 Kg7 Rg3 hxg3 Nxg5;1;10.0
e5+ Kg7 Bd5 Kh6 Rag1 Kg7 Rg3 hxg3 Nxg5 g2;1;10.0
Kg7 Bd5 Kh6 Rag1 Kg7 Rg3 hxg3 Nxg5 g2 Rg1;1;10.0
Bd5 Kh6 Rag1 Kg7 Rg3 hxg3 Nxg5 g2 Rg1 Kh6;1;10.0
Kh6 Rag1 Kg7 Rg3 hxg3 Nxg5 g2 Rg1 Kh6 Rxg2;1;10.0
Rag1 Kg7 Rg3 hxg3 Nxg5 g2 Rg1 Kh6 Rxg2 Kxg5;1;10.0
Kg7 Rg3 hxg3 Nxg5 g2 Rg1 Kh6 Rxg2 Kxg5 Be7+;1;10.0
Rg3 hxg3 Nxg5 g2 Rg1 Kh6 Rxg2 Kxg5 Be7+ Kf4;1;10.0
hxg3 Nxg5 g2 Rg1 Kh6 Rxg2 Kxg5 Be7+ Kf4 Rg3;1;10.0
Nxg5 g2 Rg1 Kh6 Rxg2 Kxg5 Be7+ Kf4 Rg3 Kxe5;1;10.0
