M,freq_eps_1,freq_eps_0.5,freq_eps_0.6666666666666666,freq_eps_0.75,freq_eps_1.25
33.939,2.61218260781455e+24,5.2243652156291e+24,3.918273911721825e+24,3.4829101437527333e+24,2.0897460862516398e+24
51.0608,3.9299959840035703e+24,7.859991968007141e+24,5.894993976005355e+24,5.239994645338094e+24,3.143996787202856e+24
64.3053,4.949385257382273e+24,9.898770514764545e+24,7.424077886073411e+24,6.599180343176365e+24,3.9595082059058184e+24
14.4454,1.1118189293415921e+24,2.2236378586831843e+24,1.6677283940123884e+24,1.482425239122123e+24,8.894551434732737e+23
15.8156,1.2172790963832697e+24,2.4345581927665395e+24,1.825918644574905e+24,1.6230387951776932e+24,9.738232771066158e+23
5.57872,4.2937727563767893e+23,8.587545512753579e+23,6.440659134565185e+23,5.72503034183572e+23,3.4350182051014315e+23
80.0291,6.15959878426151e+24,1.231919756852302e+25,9.239398176392266e+24,8.212798379015348e+24,4.927679027409207e+24
17.0105,1.3092469504177906e+24,2.618493900835581e+24,1.9638704256266862e+24,1.7456626005570543e+24,1.0473975603342325e+24
17.9445,1.3811341172671024e+24,2.762268234534205e+24,2.0717011759006538e+24,1.8415121563561366e+24,1.1049072938136818e+24
3.13272,2.4111602283958858e+23,4.8223204567917716e+23,3.616740342593829e+23,3.214880304527848e+23,1.9289281827167083e+23
24.3499,1.8741384625953478e+24,3.7482769251906956e+24,2.8112076938930217e+24,2.498851283460464e+24,1.499310770076278e+24
17.9932,1.3848824095856906e+24,2.769764819171381e+24,2.0773236143785361e+24,1.8465098794475877e+24,1.1079059276685526e+24
23.593,1.815882149331703e+24,3.631764298663406e+24,2.723823223997555e+24,2.421176199108938e+24,1.4527057194653625e+24
24.1696,1.8602613146478842e+24,3.7205226292957683e+24,2.7903919719718264e+24,2.4803484195305126e+24,1.4882090517183073e+24
15.6005,1.200723497251271e+24,2.401446994502542e+24,1.8010852458769065e+24,1.6009646630016947e+24,9.605787978010167e+23
34.6806,2.6692613261608555e+24,5.338522652321711e+24,4.0038919892412835e+24,3.5590151015478077e+24,2.1354090609286843e+24
19.2859,1.4843776350526128e+24,2.9687552701052256e+24,2.2265664525789194e+24,1.9791701800701505e+24,1.1875021080420901e+24
28.4152,2.1870323591612009e+24,4.3740647183224017e+24,3.2805485387418016e+24,2.916043145548268e+24,1.7496258873289606e+24
9.96392,7.668929116843617e+23,1.5337858233687233e+24,1.1503393675265425e+24,1.0225238822458156e+24,6.135143293474893e+23
78.5797,6.048042831765372e+24,1.2096085663530745e+25,9.07206424764806e+24,8.064057109020497e+24,4.838434265412298e+24
56.104,4.3181558981946284e+24,8.636311796389257e+24,6.477233847291943e+24,5.757541197592839e+24,3.454524718555703e+24
33.2564,2.559644941763864e+24,5.119289883527728e+24,3.839467412645797e+24,3.4128599223518194e+24,2.0477159534110915e+24
27.2954,2.100844725930088e+24,4.201689451860176e+24,3.151267088895132e+24,2.801126301240118e+24,1.6806757807440705e+24
5.00459,3.8518821878200944e+23,7.703764375640189e+23,5.7778232817301416e+23,5.135842917093459e+23,3.0815057502560755e+23
38.9585,2.9985184043885544e+24,5.997036808777109e+24,4.4977776065828315e+24,3.9980245391847393e+24,2.3988147235108432e+24
33.3839,2.5694582327416877e+24,5.138916465483375e+24,3.8541873491125315e+24,3.42594431032225e+24,2.05556658619335e+24
13.9319,1.072296380972083e+24,2.144592761944166e+24,1.6084445714581247e+24,1.4297285079627774e+24,8.578371047776664e+23
46.5932,3.5861382681406313e+24,7.172276536281263e+24,5.379207402210947e+24,4.781517690854175e+24,2.8689106145125047e+24
31.825,2.449474395052831e+24,4.898948790105662e+24,3.6742115925792476e+24,3.2659658600704423e+24,1.9595795160422651e+24
2.70031,2.078347275319752e+23,4.156694550639504e+23,3.117520912979629e+23,2.7711297004263364e+23,1.6626778202558016e+23
16.5352,1.2726645409922256e+24,2.545329081984451e+24,1.9089968114883385e+24,1.696886054656301e+24,1.0181316327937804e+24
27.4718,2.1144217026241124e+24,4.2288434052482247e+24,3.1716325539361685e+24,2.81922893683215e+24,1.6915373620992898e+24
7.47811,5.7556760309154845e+23,1.1511352061830969e+24,8.633514046373227e+23,7.674234707887314e+23,4.604540824732387e+23
65.4138,5.034703163648292e+24,1.0069406327296584e+25,7.552054745472438e+24,6.712937551531056e+24,4.0277625309186334e+24
20.6119,1.5864358612219782e+24,3.1728717224439565e+24,2.3796537918329675e+24,2.1152478149626377e+24,1.2691486889775824e+24
43.5237,3.3498880982862817e+24,6.699776196572563e+24,5.024832147429423e+24,4.4665174643817094e+24,2.679910478629025e+24
9.71615,7.47822801052398e+23,1.495645602104796e+24,1.1217342015785971e+24,9.970970680698641e+23,5.9825824084191844e+23
14.0333,1.0801008335615051e+24,2.1602016671230102e+24,1.6201512503422579e+24,1.4401344447486736e+24,8.64080666849204e+23
15.3792,1.1836907027932916e+24,2.3673814055865832e+24,1.7755360541899376e+24,1.5782542703910556e+24,9.469525622346332e+23
